,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,DataType,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotFullBath,TotHalfBath,HouseAge,YrSinceRemod,TotSF,HasBasement,Has2Floor,HasGarage,HasPool,NewNeighborhood
0,896,0,0,2,0,3,3,468.0,144.0,4,3,0.0,0.0,3,270.0,1,1,2,0,4,0,4,3,12,13,0,1,1,6,730.0,1.0,896,0,1,4,2,1461,1,3,3,0,11622,4,3,0,20,2,0.0,2,0,6,12,0,6,5,2,0,1,1,4,,8,120,5,882.0,140,1961,1961,2010,1.0,0.0,50,50,896,1,0,1,0,77.82101167315176
1,1329,0,0,3,0,3,3,923.0,0.0,0,5,0.0,0.0,3,406.0,1,2,2,0,4,0,4,3,13,14,0,1,1,6,312.0,1.0,1329,1,1,4,2,1462,1,2,3,0,14267,0,0,0,20,3,108.0,1,12500,6,12,36,6,6,2,0,1,3,4,,8,0,6,1329.0,393,1958,1958,2010,1.0,1.0,53,53,1329,1,0,1,0,77.82101167315176
2,928,701,0,3,0,3,3,791.0,0.0,2,5,0.0,0.0,2,137.0,1,2,2,0,4,0,4,3,12,13,1,2,2,6,482.0,2.0,1629,1,1,2,5,1463,1,3,3,0,13830,4,0,0,60,3,0.0,2,0,3,8,34,5,5,2,0,1,1,4,,8,0,6,928.0,212,1997,1998,2010,2.0,1.0,14,13,1629,1,1,1,0,100.61145080600333
3,926,678,0,3,0,3,3,602.0,0.0,2,5,0.0,0.0,3,324.0,1,2,2,0,4,0,4,3,12,13,1,2,2,6,470.0,2.0,1604,1,1,0,5,1464,1,2,3,0,9978,4,0,0,60,3,20.0,1,0,6,8,36,6,6,2,0,1,1,4,,8,0,7,926.0,360,1998,1998,2010,2.0,1.0,13,13,1604,1,1,1,0,100.61145080600333
4,1280,0,0,2,4,3,3,263.0,0.0,0,5,0.0,0.0,2,1017.0,1,2,2,0,4,0,4,2,6,6,0,2,2,6,506.0,2.0,1280,0,1,0,2,1465,1,2,1,0,5005,4,0,0,120,3,0.0,2,0,1,22,82,5,8,2,0,1,1,4,,8,144,5,1280.0,0,1992,1992,2010,2.0,0.0,19,19,1280,1,0,1,0,154.53029460811564
5,763,892,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,2,763.0,1,2,2,0,4,0,4,3,6,6,1,2,2,6,440.0,2.0,1655,1,1,2,5,1466,1,3,3,0,10000,0,0,0,60,3,0.0,2,0,4,8,84,5,6,2,0,1,1,4,,8,0,7,763.0,157,1993,1994,2010,2.0,1.0,18,17,1655,0,1,1,0,100.61145080600333
6,1187,0,0,3,0,3,3,935.0,0.0,0,5,1.0,0.0,2,233.0,1,2,2,0,4,0,2,3,6,6,0,2,2,6,420.0,2.0,1187,0,1,0,2,1467,1,3,3,0,7980,4,0,0,20,3,0.0,2,500,3,8,21,7,6,2,0,1,1,4,,8,0,6,1168.0,483,1992,2007,2010,3.0,0.0,19,4,1187,1,0,1,0,100.61145080600333
7,789,676,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,2,789.0,1,2,2,0,4,0,4,3,12,13,1,2,2,6,393.0,2.0,1465,1,1,2,5,1468,1,3,3,0,8402,4,0,0,60,3,0.0,2,0,5,8,75,5,6,2,0,1,1,4,,8,0,7,789.0,0,1998,1998,2010,2.0,1.0,13,13,1465,0,1,1,0,100.61145080600333
8,1341,0,0,2,0,3,1,637.0,0.0,2,5,1.0,0.0,2,663.0,1,2,2,0,4,0,4,3,6,6,1,2,1,6,506.0,2.0,1341,1,1,2,2,1469,1,2,3,0,10176,4,3,0,20,3,0.0,2,0,2,8,0,5,7,2,0,1,1,4,,8,0,5,1300.0,192,1990,1990,2010,2.0,1.0,21,21,1341,1,0,1,0,100.61145080600333
9,882,0,0,2,0,3,3,804.0,78.0,0,4,1.0,0.0,3,0.0,1,2,2,0,4,0,4,3,9,10,0,1,1,6,525.0,2.0,882,0,1,4,2,1470,1,3,3,0,8400,0,3,0,20,3,0.0,2,0,4,12,0,5,4,2,0,1,1,4,,8,0,4,882.0,240,1970,1970,2010,2.0,0.0,41,41,882,1,0,1,0,77.82101167315176
10,1337,0,0,2,4,3,3,1051.0,0.0,2,1,1.0,0.0,2,354.0,1,2,2,0,4,0,4,2,8,8,1,2,2,6,511.0,2.0,1337,0,1,0,2,1471,1,2,3,0,5858,2,0,0,120,2,0.0,2,0,6,12,68,5,7,2,0,1,1,4,,8,0,5,1405.0,203,1999,1999,2010,3.0,0.0,12,12,1337,1,0,1,0,77.82101167315176
11,483,504,0,2,3,3,3,156.0,0.0,4,5,0.0,0.0,3,327.0,1,2,2,0,4,0,4,3,6,6,0,1,1,6,264.0,1.0,987,1,1,4,5,1472,1,3,3,0,1680,4,3,0,160,4,504.0,1,0,2,2,0,5,6,2,0,1,1,4,,0,0,5,483.0,275,1971,1971,2010,1.0,1.0,40,40,987,1,1,1,0,58.92162312395776
12,525,567,0,3,3,3,3,300.0,0.0,4,5,0.0,0.0,3,225.0,1,2,2,0,4,0,4,3,6,6,0,1,1,6,320.0,1.0,1092,1,1,4,5,1473,1,3,3,0,1680,4,3,0,160,4,492.0,1,0,3,2,0,5,5,2,0,1,1,4,,8,0,6,525.0,0,1971,1971,2010,1.0,1.0,40,40,1092,1,1,1,0,58.92162312395776
13,855,601,0,3,3,3,3,514.0,0.0,0,5,0.0,0.0,3,341.0,1,2,2,0,4,0,4,3,9,2,1,1,2,6,440.0,2.0,1456,1,1,4,5,1474,1,2,3,0,2280,2,3,0,160,3,0.0,2,0,6,13,0,6,6,2,0,1,1,4,,8,0,6,855.0,173,1975,1975,2010,2.0,1.0,36,36,1456,1,1,1,0,81.1561978877154
14,836,0,0,2,3,3,3,0.0,0.0,5,5,0.0,0.0,2,836.0,1,2,2,0,4,0,4,3,9,2,0,1,1,6,308.0,1.0,836,0,1,0,2,1475,1,3,3,0,2280,2,3,0,120,3,0.0,2,0,6,13,30,6,7,2,0,1,1,4,,8,0,4,836.0,0,1975,1975,2010,1.0,0.0,36,36,836,0,0,1,0,81.1561978877154
15,1627,707,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,0,1590.0,1,2,2,0,4,0,4,0,12,13,1,2,2,6,751.0,3.0,2334,1,1,0,5,1476,1,0,3,0,12858,4,0,0,60,3,162.0,3,0,1,16,133,5,9,2,0,1,1,5,,6,0,10,1590.0,144,2009,2010,2010,2.0,1.0,2,1,2334,0,1,1,0,175.09727626459144
16,1544,0,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,2,1544.0,1,2,2,0,4,0,4,2,12,13,0,2,2,6,868.0,3.0,1544,0,1,0,2,1477,1,2,3,0,12883,0,0,0,20,3,256.0,3,0,6,16,35,5,8,2,0,1,1,5,,6,0,7,1544.0,0,2009,2010,2010,2.0,0.0,2,1,1544,0,0,1,0,175.09727626459144
17,1698,0,0,3,0,3,3,110.0,0.0,2,5,0.0,0.0,0,1588.0,1,4,2,0,4,0,4,2,12,13,1,2,2,6,730.0,3.0,1698,0,1,0,2,1478,1,0,3,0,11520,4,3,0,20,3,615.0,1,0,6,16,74,5,9,2,0,1,3,4,,8,0,7,1698.0,192,2005,2005,2010,2.0,0.0,6,6,1698,1,0,1,0,175.09727626459144
18,1822,0,0,3,0,3,3,28.0,0.0,2,5,0.0,0.0,0,1794.0,1,2,2,0,4,0,4,2,5,5,1,2,2,6,678.0,3.0,1822,0,1,0,2,1479,1,0,3,0,14122,4,0,0,20,3,240.0,1,0,2,16,119,5,8,2,0,1,3,4,,8,0,8,1822.0,0,2005,2006,2010,2.0,0.0,6,5,1822,1,0,1,0,175.09727626459144
19,2696,0,0,3,0,3,1,1373.0,0.0,2,5,1.0,0.0,0,1473.0,1,2,2,0,4,0,4,0,12,13,2,2,2,6,958.0,3.0,2696,1,1,0,2,1480,1,0,1,1,14300,4,3,0,20,3,1095.0,1,0,6,16,150,5,9,2,0,1,3,4,,8,0,10,2846.0,220,2003,2004,2010,3.0,1.0,8,7,2696,1,0,1,0,175.09727626459144
20,1687,563,0,3,0,3,1,578.0,0.0,2,5,1.0,0.0,2,1093.0,1,2,2,0,4,0,4,2,12,13,1,2,2,6,756.0,3.0,2250,1,1,0,5,1481,1,2,3,0,13650,0,3,0,60,3,232.0,1,0,6,16,130,5,8,2,0,1,1,4,,8,0,7,1671.0,238,2002,2002,2010,3.0,1.0,9,9,2250,1,1,1,0,175.09727626459144
21,1370,0,0,2,4,3,2,24.0,0.0,2,5,0.0,0.0,2,1346.0,1,2,2,0,4,0,4,2,12,13,1,2,2,6,484.0,2.0,1370,0,1,0,2,1482,1,2,3,0,7132,4,0,0,120,3,178.0,3,0,4,16,49,5,8,2,0,1,1,4,,8,0,6,1370.0,120,2006,2006,2010,2.0,0.0,5,5,1370,1,0,1,0,175.09727626459144
22,1324,0,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,2,1324.0,1,2,2,0,4,0,4,2,12,13,0,2,2,6,430.0,2.0,1324,0,1,0,2,1483,1,2,3,0,18494,0,0,0,20,3,0.0,2,0,1,8,23,5,6,2,0,1,1,4,,8,0,6,1324.0,36,2005,2005,2010,2.0,0.0,6,6,1324,0,0,1,0,100.61145080600333
23,1145,0,0,2,4,3,0,16.0,0.0,2,5,0.0,0.0,2,1129.0,1,2,2,0,4,0,4,2,12,13,0,2,2,6,437.0,2.0,1145,0,1,0,2,1484,1,2,3,0,3203,4,3,0,120,3,14.0,1,0,1,0,116,5,7,2,0,1,1,4,,8,0,6,1145.0,100,2006,2006,2010,2.0,0.0,5,5,1145,1,0,1,0,106.17009449694275
24,744,630,0,3,0,3,3,326.0,0.0,2,5,1.0,0.0,2,58.0,1,2,2,0,4,0,4,2,12,13,1,2,2,6,400.0,2.0,1374,1,1,0,7,1485,1,2,3,0,13300,4,0,0,80,3,0.0,2,0,6,8,0,5,7,2,0,1,1,4,,8,0,7,384.0,100,2004,2004,2010,3.0,1.0,7,7,1374,1,1,1,0,100.61145080600333
25,847,886,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,2,847.0,1,2,2,0,4,0,4,2,12,13,1,2,2,6,433.0,2.0,1733,1,1,0,5,1486,1,2,3,0,8577,4,0,0,60,3,0.0,2,0,4,8,48,5,7,2,0,1,1,4,,8,0,7,847.0,144,2004,2004,2010,2.0,1.0,7,7,1733,0,1,1,0,100.61145080600333
26,1645,830,0,4,0,3,3,0.0,0.0,5,5,0.0,0.0,0,1629.0,1,2,2,0,4,0,4,2,12,13,1,2,2,6,962.0,3.0,2475,1,1,0,5,1487,1,2,3,0,17433,1,1,0,60,3,114.0,1,0,1,15,172,5,8,2,0,1,3,4,,8,256,7,1629.0,23,1998,1998,2010,2.0,1.0,13,13,2475,0,1,1,0,167.59310728182325
27,1595,0,0,2,0,3,4,0.0,0.0,5,5,0.0,0.0,2,1595.0,1,2,2,0,4,0,4,2,12,13,1,2,2,6,880.0,3.0,1595,0,1,0,2,1488,1,2,3,0,8987,4,3,0,20,3,226.0,1,0,5,21,0,5,8,2,0,1,1,4,,8,0,6,1595.0,144,2005,2006,2010,2.0,0.0,6,5,1595,0,0,1,0,125.34741523068371
28,1218,0,0,2,0,3,3,0.0,0.0,5,5,0.0,0.0,2,1218.0,1,2,2,0,4,0,4,2,12,13,0,2,2,6,676.0,2.0,1218,0,1,0,2,1489,1,2,3,0,9215,4,3,0,20,1,0.0,2,0,4,21,136,5,7,2,0,1,3,5,,6,0,4,1218.0,0,2009,2010,2010,2.0,0.0,2,1,1218,0,0,1,0,125.34741523068371
29,1468,0,0,2,0,3,3,1414.0,0.0,2,5,1.0,0.0,0,54.0,1,2,2,0,4,0,4,2,12,13,1,2,2,6,528.0,2.0,1468,0,1,0,2,1490,1,2,3,0,10440,0,3,0,20,1,0.0,2,0,5,21,102,5,6,2,0,1,1,4,,8,216,6,1468.0,0,2005,2005,2010,3.0,0.0,6,6,1468,1,0,1,0,125.34741523068371
30,831,828,0,3,0,3,0,0.0,0.0,5,5,0.0,0.0,2,831.0,1,2,2,0,4,0,4,2,12,13,0,2,2,6,484.0,2.0,1659,1,1,0,5,1491,1,2,3,0,11920,4,3,0,60,3,122.0,1,0,4,20,68,5,7,2,0,1,1,4,,8,0,8,831.0,144,2004,2004,2010,2.0,1.0,7,7,1659,0,1,1,0,100.0
31,1012,0,0,2,0,3,3,0.0,0.0,5,5,0.0,0.0,3,816.0,0,1,2,0,0,80,1,3,13,14,0,0,1,6,429.0,1.0,1012,0,1,4,2,1492,1,3,3,0,9800,0,3,0,30,2,0.0,2,0,4,20,0,5,5,2,0,1,1,4,,8,0,5,816.0,121,1920,1950,2010,1.0,0.0,91,61,1012,0,0,1,0,100.0
32,1494,0,0,3,0,3,1,126.0,859.0,1,2,1.0,0.0,3,223.0,1,7,2,0,4,186,2,3,9,10,2,1,2,6,461.0,2.0,1494,0,1,0,2,1493,1,3,3,0,15410,1,0,0,20,3,250.0,0,0,4,19,0,6,6,2,0,1,3,0,,8,0,7,1208.0,296,1974,2002,2010,3.0,0.0,37,9,1494,1,0,1,0,75.04168982768205
33,1251,1098,0,4,0,3,3,250.0,981.0,3,2,1.0,0.0,2,0.0,1,2,2,0,4,0,4,2,6,7,1,2,2,6,762.0,3.0,2349,1,1,0,5,1494,1,2,3,0,13143,4,0,0,60,3,504.0,1,0,6,15,130,5,8,2,0,1,1,4,,8,0,9,1231.0,32,1993,1993,2010,3.0,1.0,18,18,2349,1,1,1,0,167.59310728182325
34,1402,823,0,4,0,3,3,1129.0,0.0,2,5,1.0,0.0,2,261.0,1,2,2,0,4,0,4,2,6,6,1,2,2,6,713.0,3.0,2225,1,1,0,5,1495,1,2,3,0,11134,4,3,0,60,3,180.0,1,0,6,15,30,5,8,2,0,1,1,4,,8,0,7,1390.0,198,1992,1993,2010,3.0,1.0,19,18,2225,1,1,1,0,167.59310728182325
35,1488,0,0,2,4,3,0,1298.0,0.0,2,5,1.0,0.0,0,190.0,1,2,2,0,4,0,4,2,8,8,1,2,2,6,506.0,2.0,1488,0,1,0,2,1496,1,2,3,0,4835,1,0,0,120,1,0.0,2,0,3,21,50,5,7,2,0,1,1,4,,8,0,6,1488.0,168,2004,2005,2010,3.0,0.0,7,6,1488,1,0,1,0,125.34741523068371
36,840,840,0,2,4,3,3,0.0,0.0,5,5,0.0,0.0,2,840.0,1,2,2,0,4,0,4,2,12,13,0,2,2,6,588.0,2.0,1680,1,1,0,5,1497,1,2,3,0,3515,4,3,0,160,1,0.0,2,0,1,21,111,5,7,2,0,1,1,4,,8,0,3,840.0,0,2004,2004,2010,2.0,1.0,7,7,1680,0,1,1,0,125.34741523068371
37,600,600,0,2,4,3,0,280.0,0.0,2,5,0.0,0.0,2,320.0,1,2,2,0,4,0,4,2,8,8,0,2,2,6,480.0,2.0,1200,1,1,0,5,1498,1,2,3,0,3215,4,3,0,160,1,120.0,1,0,4,21,172,5,7,2,0,1,1,4,,3,0,4,600.0,0,2004,2004,2010,2.0,1.0,7,7,1200,1,1,1,0,125.34741523068371
38,600,600,0,2,3,3,3,368.0,42.0,2,0,1.0,0.0,2,190.0,1,2,2,0,4,0,4,2,8,8,0,2,2,6,480.0,2.0,1200,1,1,0,5,1499,1,2,3,0,2544,4,3,0,160,1,0.0,2,0,2,21,172,5,7,2,0,1,1,4,,8,0,4,600.0,0,2004,2005,2010,3.0,1.0,7,6,1200,1,1,1,0,125.34741523068371
39,600,636,0,2,3,3,3,376.0,0.0,2,5,1.0,0.0,2,224.0,1,2,2,0,4,0,4,2,12,13,0,2,2,6,480.0,2.0,1236,1,1,0,5,1500,1,2,3,0,2544,4,3,0,160,1,216.0,1,0,5,21,166,5,6,2,0,1,1,4,,8,0,4,600.0,0,2005,2005,2010,3.0,1.0,6,6,1236,1,1,1,0,125.34741523068371
