,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,DataType,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotFullBath,TotHalfBath,HouseAge,YrSinceRemod,TotSF,HasBasement,Has2Floor,HasGarage,HasPool,SalePriceLog,NewNeighborhood
0,856,854,0,3,0,3,3,706.0,0.0,2,5,1.0,0.0,2,150.0,1,2,2,1,4,0,4,2,12,13,0,2,2,6,548.0,2.0,1710,1,1,0,5,1,1,2,3,0,8450,4,3,0,60,3,196.0,1,0,2,5,61,5,7,2,0,1,1,4,208500.0,8,0,8,856.0,0,2003,2003,2008,3.0,1.0,8,8,1710,1,1,1,0,12.247694320220994,109.61645358532519
1,1262,0,0,3,0,3,1,978.0,0.0,0,5,0.0,1.0,2,284.0,1,1,2,1,4,0,4,3,8,8,1,1,2,6,460.0,2.0,1262,0,1,0,2,2,1,3,3,0,9600,2,3,0,20,3,0.0,2,0,5,24,0,8,6,2,0,1,1,4,181500.0,8,0,6,1262.0,298,1976,1976,2007,2.0,1.0,35,35,1262,1,0,1,0,12.109010932687042,121.17843246247915
2,920,866,0,3,0,3,2,486.0,0.0,2,5,1.0,0.0,2,434.0,1,2,2,1,4,0,4,2,12,13,1,2,2,6,608.0,2.0,1786,1,1,0,5,3,1,2,3,0,11250,4,0,0,60,3,162.0,1,0,9,5,42,5,7,2,0,1,1,4,223500.0,8,0,6,920.0,0,2001,2002,2008,3.0,1.0,10,9,1786,1,1,1,0,12.31716669303576,109.61645358532519
3,961,756,0,3,0,1,3,216.0,0.0,0,5,1.0,0.0,3,540.0,1,2,2,1,4,272,4,3,13,15,1,0,1,6,642.0,3.0,1717,0,1,2,5,4,1,2,3,0,9550,0,0,0,70,3,0.0,2,0,2,6,35,5,7,2,0,1,1,0,140000.0,8,0,7,756.0,0,1915,1970,2006,2.0,0.0,96,41,1717,1,1,1,0,11.84939770159144,111.51973318510284
4,1145,1053,0,4,0,3,0,655.0,0.0,2,5,1.0,0.0,2,490.0,1,2,2,1,4,0,4,2,12,13,1,2,2,6,836.0,3.0,2198,1,1,0,5,5,1,2,3,0,14260,2,0,0,60,3,350.0,1,0,12,15,84,5,8,2,0,1,1,4,250000.0,8,0,9,1145.0,192,2000,2000,2008,3.0,1.0,11,11,2198,1,1,1,0,12.429216196844383,167.59310728182325
5,796,566,320,1,0,3,3,732.0,0.0,2,5,1.0,0.0,2,64.0,1,2,2,1,4,0,4,3,12,13,0,5,1,6,480.0,2.0,1362,1,1,0,0,6,1,3,3,0,14115,4,0,0,50,3,0.0,2,700,10,11,30,5,5,2,0,1,1,4,143000.0,8,0,5,796.0,40,1993,1995,2009,2.0,1.0,18,16,1362,1,1,1,0,11.870599909242044,85.32518065591995
6,1694,0,0,3,0,3,0,1369.0,0.0,2,5,1.0,0.0,0,317.0,1,2,2,1,4,0,4,2,12,13,1,2,2,6,636.0,2.0,1694,0,1,0,2,7,1,2,3,0,10084,4,3,0,20,3,186.0,3,0,8,21,57,5,8,2,0,1,1,4,307000.0,8,0,7,1686.0,255,2004,2005,2007,3.0,0.0,7,6,1694,1,0,1,0,12.634603026569334,125.34741523068371
7,1107,983,0,3,0,3,2,859.0,32.0,0,1,1.0,0.0,2,216.0,1,4,2,1,4,228,4,3,6,6,2,1,2,6,484.0,2.0,2090,1,1,0,5,8,1,3,3,0,10382,0,0,0,60,3,240.0,3,350,11,14,204,6,7,2,0,1,1,4,200000.0,8,0,7,1107.0,235,1973,1973,2009,3.0,1.0,38,38,2090,1,1,1,0,12.206072645530174,101.66759310728182
8,1022,752,0,2,0,3,3,0.0,0.0,5,5,0.0,0.0,3,952.0,1,0,2,1,1,205,4,3,3,15,2,0,2,2,468.0,2.0,1774,0,1,2,0,9,2,3,3,0,6120,4,3,0,50,4,0.0,2,0,4,17,0,5,7,2,0,1,1,0,129900.0,8,0,8,952.0,90,1931,1950,2008,2.0,0.0,80,61,1774,0,1,1,0,11.77452020265869,66.14785992217898
9,1077,0,0,2,1,3,3,851.0,0.0,2,5,1.0,0.0,3,140.0,1,0,0,1,4,0,4,3,8,8,2,0,1,6,205.0,1.0,1077,0,1,0,1,10,2,3,3,0,7420,0,3,0,190,3,0.0,2,0,1,3,4,6,5,2,0,1,1,4,118000.0,8,0,5,991.0,0,1939,1950,2008,2.0,0.0,72,61,1077,1,0,1,0,11.678439903447801,69.09394107837687
10,1040,0,0,3,0,3,3,906.0,0.0,4,5,1.0,0.0,3,134.0,1,2,2,1,4,0,4,3,6,6,0,1,1,6,384.0,1.0,1040,0,1,0,2,11,1,3,3,0,11200,4,3,0,20,3,0.0,2,0,2,19,0,5,5,2,0,1,3,4,129500.0,8,0,5,1040.0,0,1965,1965,2008,2.0,0.0,46,46,1040,1,0,1,0,11.771436160121729,75.04168982768205
11,1182,1142,0,4,0,3,3,998.0,0.0,2,5,1.0,0.0,0,177.0,1,2,2,1,4,0,4,0,14,15,2,2,3,6,736.0,3.0,2324,0,1,0,5,12,1,0,3,0,11924,4,0,0,60,3,286.0,3,0,7,16,21,5,9,2,0,1,3,5,345000.0,6,0,11,1175.0,147,2005,2006,2006,4.0,0.0,6,5,2324,1,1,1,0,12.751299696013497,175.09727626459144
12,912,0,0,2,0,3,3,737.0,0.0,0,5,1.0,0.0,3,175.0,1,2,2,1,4,0,4,3,6,10,0,1,1,6,352.0,1.0,912,0,1,4,2,13,1,3,3,0,12968,4,1,0,20,3,0.0,2,0,9,19,0,6,5,2,0,1,3,4,144000.0,8,176,4,912.0,140,1962,1962,2008,2.0,0.0,49,49,912,1,0,1,0,11.877568578558138,75.04168982768205
13,1494,0,0,3,0,3,0,0.0,0.0,5,5,0.0,0.0,2,1494.0,1,2,2,1,4,0,4,2,12,13,1,2,2,6,840.0,3.0,1494,0,1,0,2,14,1,2,3,0,10652,4,0,0,20,3,306.0,3,0,8,5,33,5,7,2,0,1,1,5,279500.0,6,0,7,1494.0,160,2006,2007,2007,2.0,0.0,5,4,1494,0,0,1,0,12.540757571577291,109.61645358532519
14,1253,0,0,2,0,3,3,733.0,0.0,1,5,1.0,0.0,3,520.0,1,2,2,1,4,176,4,3,8,8,1,1,1,6,352.0,1.0,1253,1,1,4,2,15,1,3,3,0,10920,0,0,0,20,3,212.0,1,0,5,12,213,5,6,2,0,1,3,4,157000.0,8,0,5,1253.0,0,1960,1960,2008,2.0,1.0,51,51,1253,1,0,1,0,11.964001084330445,77.82101167315176
15,854,0,0,2,0,3,3,0.0,0.0,5,5,0.0,0.0,3,832.0,1,2,2,1,0,0,4,3,13,14,0,0,1,6,576.0,2.0,854,0,1,0,1,16,1,3,3,0,6120,0,3,0,45,4,0.0,2,0,7,3,112,8,7,2,0,1,1,4,132000.0,8,0,5,832.0,48,1929,2001,2007,1.0,0.0,82,10,854,0,0,1,0,11.790557201568507,69.09394107837687
16,1004,0,0,2,0,3,3,578.0,0.0,0,5,1.0,0.0,3,426.0,1,2,2,1,4,0,4,3,13,14,1,1,1,6,480.0,2.0,1004,0,1,0,2,17,1,3,3,0,11241,1,0,0,20,3,180.0,1,700,3,12,0,7,6,2,0,1,1,4,149000.0,8,0,5,1004.0,0,1970,1970,2010,2.0,0.0,41,41,1004,1,0,1,0,11.911701584927597,77.82101167315176
17,1296,0,0,2,2,4,4,0.0,0.0,6,6,0.0,0.0,4,0.0,1,2,2,1,4,0,4,3,8,8,0,3,2,6,516.0,2.0,1296,0,1,4,2,18,2,3,3,0,10791,4,3,0,90,3,0.0,2,500,10,19,0,5,4,2,0,1,1,4,90000.0,8,0,6,0.0,0,1967,1967,2006,2.0,0.0,44,44,1296,0,0,1,0,11.407564949312402,75.04168982768205
18,1114,0,0,3,0,3,3,646.0,0.0,2,5,1.0,0.0,3,468.0,1,5,2,1,4,0,4,3,12,13,0,2,1,6,576.0,2.0,1114,1,1,0,2,19,1,2,3,0,13695,4,3,0,20,3,0.0,2,0,6,20,102,5,5,2,0,1,1,4,159000.0,8,0,6,1114.0,0,2004,2004,2008,2.0,1.0,7,7,1114,1,0,1,0,11.976659481202368,100.0
